"","year","month","day","districts","no.of.dist","District","Count","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","X.8"
"1",2025,1,1,"Narayanganj, Faridpur, Naogaon, Pabna, Satkhira, Mymensingh, Dinajpur, Rajshahi",8,"Bagerhat",3,"Narayanganj","Faridpur","Naogaon","Pabna","Satkhira","Mymensingh","Dinajpur","Rajshahi",""
"2",2025,1,2,"Chuadanga,Khagrachhari ,Cox’s Bazar,Barishal,Chattogram,Munshiganj",6,"Bandarban",2,"Chuadanga","Khagrachhari","Cox’s","Bazar","Barishal","Chattogram","Munshiganj","",""
"3",2025,1,3,"Munshiganj, Narayanganj, Bogura, Gaibandha, Sunamganj, Chattogram ",6,"Barguna",5,"Munshiganj","Narayanganj","Bogura","Gaibandha","Sunamganj","Chattogram","","",""
"4",2025,1,4,"Dhaka, Patuakhali, Noakhali ",3,"Barishal",11,"Dhaka","Patuakhali","Noakhali","","","","","",""
"5",2025,1,5,"Gazipur, Sylhet, Natore ",3,"Bazar",12,"Gazipur","Sylhet","Natore","","","","","",""
"6",2025,1,6,"Natore, Munshiganj, Mymensingh, Sunamganj ",4,"Bhola",2,"Natore","Munshiganj","Mymensingh","Sunamganj","","","","",""
"7",2025,1,7,"Gazipur, Munshiganj, Noakhali, Dhaka ",4,"Bogura",24,"Gazipur","Munshiganj","Noakhali","Dhaka","","","","",""
"8",2025,1,8,"Meherpur, Gaibandha ",2,"Brahmanbaria",10,"Meherpur","Gaibandha","","","","","","",""
"9",2025,1,9,"Chattogram, Cox’s Bazar, ",3,"Chandpur",1,"Chattogram","Cox’s","Bazar","","","","","",""
"10",2025,1,10,"Gopalganj, Madaripur, Chattogram ",3,"Chattogram",26,"Gopalganj","Madaripur","Chattogram","","","","","",""
"11",2025,1,11,"Habiganj, Lakshmipur, Natore, Kushtia, Munshiganj ",5,"Chuadanga",7,"Habiganj","Lakshmipur","Natore","Kushtia","Munshiganj","","","",""
"12",2025,1,12,"Faridpur, Natore, Netrokona, Rajbari, Chandpur ",5,"Cox’s",12,"Faridpur","Natore","Netrokona","Rajbari","Chandpur","","","",""
"13",2025,1,13,"Narayanganj, Bogura, Khagrachhari, Lakshmipur ",4,"Cumilla",7,"Narayanganj","Bogura","Khagrachhari","Lakshmipur","","","","",""
"14",2025,1,14,"Khulna, Manikganj, Bogura ",3,"Dhaka",7,"Khulna","Manikganj","Bogura","","","","","",""
"15",2025,1,15,NA,1,"Dinajpur",10,NA,"","","","","","","",""
"16",2025,1,16,"Bagerhat, Jhenaidah, Moulvibazar, Jhalakathi, Bogura, Lakshmipur ",6,"Faridpur",7,"Bagerhat","Jhenaidah","Moulvibazar","Jhalakathi","Bogura","Lakshmipur","","",""
"17",2025,1,17,"Chattogram, Gopalganj, Tangail, ",4,"Feni",3,"Chattogram","Gopalganj","Tangail","","","","","",""
"18",2025,1,18,NA,1,"Gaibandha",5,NA,"","","","","","","",""
"19",2025,1,19,"Gazipur, Narayanganj, Narsingdi, Khulna, Faridpur Jhalakathi ",5,"Gazipur",9,"Gazipur","Narayanganj","Narsingdi","Khulna","Faridpur","Jhalakathi","","",""
"20",2025,1,20,"Lakshmipur, Jashore, Mymensingh, Brahmanbaria, Cumilla, Munshiganj ",6,"Gopalganj",4,"Lakshmipur","Jashore","Mymensingh","Brahmanbaria","Cumilla","Munshiganj","","",""
"21",2025,1,21,"Natore, Kurigram, Mymensingh, Bogura ",4,"Habiganj",2,"Natore","Kurigram","Mymensingh","Bogura","","","","",""
"22",2025,1,22,"Netrokona, Sunamganj, Sylhet, Rangpur, Barishal, Khulna ",6,"Jamalpur",7,"Netrokona","Sunamganj","Sylhet","Rangpur","Barishal","Khulna","","",""
"23",2025,1,23,"Sylhet, Jashore, Mymensingh ",3,"Jashore",8,"Sylhet","Jashore","Mymensingh","","","","","",""
