Crash Breakdown 2,Date Of Loss Year,Crash Severity,Cyclist Flag,Day Of Week,Derived Crash Congifuration,Intersection Crash,Month Of Year,Motorcycle Flag,Municipality Name (ifnull),Parking Lot Flag,Pedestrian Flag,Region,Street Full Name (ifnull),Time Category,Crash Breakdown,Cross Street Full Name,Heavy Veh Flag,Mid Block Crash,Municipality Name,Municipality With Boundary,Road Location Description,Street Full Name,Crash Count,Latitude,Longitude,Number of Records
LOWER MAINLAND,2016,CASUALTY,Yes,WEDNESDAY,UNDETERMINED,Yes,JULY,No,ABBOTSFORD,No,No,LOWER MAINLAND,MARSHALL RD,09:00-11:59,WEDNESDAY,MCKENZIE RD,N,N,ABBOTSFORD,ABBOTSFORD,MARSHALL RD & MCKENZIE RD,MARSHALL RD,1,49.038552,-122.282282,1
VANCOUVER ISLAND,2016,PROPERTY DAMAGE ONLY,Yes,SATURDAY,SINGLE VEHICLE,Yes,NOVEMBER,No,SOOKE,No,No,VANCOUVER ISLAND,CHURCH HILL DR,15:00-17:59,SATURDAY,STEEPLE CHASE,N,N,SOOKE,SOOKE,CHURCH HILL DR & STEEPLE CHASE,CHURCH HILL DR,1,48.385826,-123.721087,1
LOWER MAINLAND,2019,PROPERTY DAMAGE ONLY,Yes,SATURDAY,UNDETERMINED,Yes,AUGUST,No,SURREY,No,No,LOWER MAINLAND,24 AVE,00:00-02:59,SATURDAY,KING GEORGE HWY,N,N,SURREY,SURREY,24 AVE & KING GEORGE BLVD & TURNING LANE,24 AVE,1,49.045585,-122.793584,1
VANCOUVER ISLAND,2019,PROPERTY DAMAGE ONLY,Yes,MONDAY,SINGLE VEHICLE,No,AUGUST,No,VICTORIA,No,No,VANCOUVER ISLAND,QUADRA ST,15:00-17:59,MONDAY,NA,N,N,VICTORIA,VICTORIA,QUADRA ST,QUADRA ST,1,48.418665,-123.361456,1
VANCOUVER ISLAND,2019,CASUALTY,Yes,SUNDAY,SINGLE VEHICLE,Yes,JUNE,No,OAK BAY,No,No,VANCOUVER ISLAND,MCNEILL AVE,09:00-11:59,SUNDAY,ROSLYN RD,N,N,OAK BAY,OAK BAY,MCNEILL AVE & ROSLYN RD,MCNEILL AVE,1,48.420229,-123.317153,1
VANCOUVER ISLAND,2019,CASUALTY,Yes,SUNDAY,SINGLE VEHICLE,Yes,AUGUST,No,VICTORIA,No,No,VANCOUVER ISLAND,BELLEVILLE ST,12:00-14:59,SUNDAY,OSWEGO ST,N,N,VICTORIA,VICTORIA,BELLEVILLE ST & OSWEGO ST,BELLEVILLE ST,1,48.42163,-123.37415,1
VANCOUVER ISLAND,2018,CASUALTY,Yes,TUESDAY,SINGLE VEHICLE,Yes,AUGUST,No,VICTORIA,No,No,VANCOUVER ISLAND,COOK ST,06:00-08:59,TUESDAY,RICHARDSON ST,N,N,VICTORIA,VICTORIA,COOK ST & RICHARDSON ST,COOK ST,1,48.419636,-123.354966,1
LOWER MAINLAND,2016,CASUALTY,Yes,WEDNESDAY,SINGLE VEHICLE,Yes,MARCH,No,SURREY,No,No,LOWER MAINLAND,148 ST,15:00-17:59,WEDNESDAY,FRASER HWY,N,N,SURREY,SURREY,148 ST & FRASER HWY & TURNING LANE,148 ST,1,49.170326,-122.812309,1
LOWER MAINLAND,2019,PROPERTY DAMAGE ONLY,Yes,SATURDAY,SINGLE VEHICLE,Yes,JUNE,No,RICHMOND,No,No,LOWER MAINLAND,NO 3 RD,12:00-14:59,SATURDAY,LANSDOWNE RD,N,N,RICHMOND,RICHMOND,LANSDOWNE RD & NO 3 RD,NO 3 RD,1,49.173863,-123.136744,1
VANCOUVER ISLAND,2016,CASUALTY,Yes,TUESDAY,SINGLE VEHICLE,Yes,AUGUST,No,METCHOSIN,No,No,VANCOUVER ISLAND,TAYLOR RD,12:00-14:59,TUESDAY,ROCKY POINT RD,N,N,METCHOSIN,METCHOSIN,ROCKY POINT RD & TAYLOR RD,TAYLOR RD,1,48.372019,-123.547043,1
VANCOUVER ISLAND,2017,CASUALTY,Yes,MONDAY,SINGLE VEHICLE,Yes,MAY,No,VICTORIA,No,No,VANCOUVER ISLAND,MOSS ST,18:00-20:59,MONDAY,POINT ST,N,N,VICTORIA,VICTORIA,MOSS ST & POINT ST,MOSS ST,1,48.406633,-123.350963,1
LOWER MAINLAND,2015,CASUALTY,Yes,SUNDAY,SINGLE VEHICLE,Yes,MARCH,No,RICHMOND,No,No,LOWER MAINLAND,FRANCIS RD,18:00-20:59,SUNDAY,GILBERT RD,N,N,RICHMOND,RICHMOND,FRANCIS RD & GILBERT RD,FRANCIS RD,1,49.148298,-123.147831,1
LOWER MAINLAND,2019,CASUALTY,Yes,WEDNESDAY,SINGLE VEHICLE,Yes,APRIL,No,SURREY,No,No,LOWER MAINLAND,138 ST,15:00-17:59,WEDNESDAY,77A AVE,N,N,SURREY,SURREY,138 ST & 77A AVE,138 ST,1,49.143616,-122.840089,1
LOWER MAINLAND,2017,CASUALTY,Yes,SATURDAY,SINGLE VEHICLE,Yes,DECEMBER,No,CHILLIWACK,No,No,LOWER MAINLAND,EVANS RD,18:00-20:59,SATURDAY,YALE RD,N,N,CHILLIWACK,CHILLIWACK,EVANS RD & YALE RD,EVANS RD,1,49.145179,-121.977627,1
LOWER MAINLAND,2016,CASUALTY,Yes,MONDAY,SINGLE VEHICLE,Yes,FEBRUARY,No,RICHMOND,No,No,LOWER MAINLAND,FRANCIS RD,12:00-14:59,MONDAY,NO 1 RD,N,N,RICHMOND,RICHMOND,FRANCIS RD & NO 1 RD,FRANCIS RD,1,49.148331,-123.18133,1
LOWER MAINLAND,2019,CASUALTY,Yes,WEDNESDAY,SINGLE VEHICLE,Yes,MAY,No,RICHMOND,No,No,LOWER MAINLAND,FRANCIS RD,06:00-08:59,WEDNESDAY,RAILWAY AVE,N,N,RICHMOND,RICHMOND,FRANCIS RD & RAILWAY AVE,FRANCIS RD,1,49.148393,-123.169815,1
LOWER MAINLAND,2017,PROPERTY DAMAGE ONLY,Yes,TUESDAY,SINGLE VEHICLE,Yes,AUGUST,No,SURREY,No,No,LOWER MAINLAND,168 ST,12:00-14:59,TUESDAY,FRASER HWY,N,N,SURREY,SURREY,168 ST & FRASER HWY & TURNING LANE,168 ST,1,49.147961,-122.756454,1
LOWER MAINLAND,2017,CASUALTY,Yes,WEDNESDAY,SINGLE VEHICLE,Yes,AUGUST,No,SURREY,No,No,LOWER MAINLAND,80 AVE,12:00-14:59,WEDNESDAY,121A ST,N,N,SURREY,SURREY,121A ST & 80 AVE,80 AVE,1,49.14854,-122.886677,1
LOWER MAINLAND,2018,CASUALTY,Yes,MONDAY,SINGLE VEHICLE,Yes,NOVEMBER,No,LANGLEY,No,No,LOWER MAINLAND,204 ST,15:00-17:59,MONDAY,96 AVE,N,N,LANGLEY,LANGLEY,204 ST & 96 AVE,204 ST,1,49.176991,-122.657344,1
LOWER MAINLAND,2017,CASUALTY,Yes,TUESDAY,SINGLE VEHICLE,Yes,OCTOBER,No,SURREY,No,No,LOWER MAINLAND,127 ST,12:00-14:59,TUESDAY,80 AVE,N,N,SURREY,SURREY,127 ST & 80 AVE,127 ST,1,49.148207,-122.870801,1
VANCOUVER ISLAND,2016,CASUALTY,Yes,FRIDAY,UNDETERMINED,No,OCTOBER,No,NANAIMO,Yes,No,VANCOUVER ISLAND,BOWEN RD,15:00-17:59,FRIDAY,NA,N,N,NANAIMO,NANAIMO,BOWEN RD,BOWEN RD,1,49.177355,-123.970975,1
LOWER MAINLAND,2015,CASUALTY,Yes,SUNDAY,SINGLE VEHICLE,Yes,MAY,No,RICHMOND,No,No,LOWER MAINLAND,ALDERBRIDGE WAY,09:00-11:59,SUNDAY,NO 3 RD,N,N,RICHMOND,RICHMOND,ALDERBRIDGE WAY & NO 3 RD,ALDERBRIDGE WAY,1,49.17738,-123.136585,1
LOWER MAINLAND,2019,CASUALTY,Yes,WEDNESDAY,SINGLE VEHICLE,Yes,JANUARY,No,SURREY,No,No,LOWER MAINLAND,156 ST,15:00-17:59,WEDNESDAY,98 AVE,N,N,SURREY,SURREY,156 ST & 98 AVE,156 ST,1,49.180677,-122.789896,1
LOWER MAINLAND,2016,CASUALTY,Yes,THURSDAY,SINGLE VEHICLE,Yes,APRIL,No,RICHMOND,No,No,LOWER MAINLAND,MAPLE RD,09:00-11:59,THURSDAY,GILBERT RD,N,N,RICHMOND,RICHMOND,GILBERT RD & MAPLE RD,MAPLE RD,1,49.146729,-123.147838,1
VANCOUVER ISLAND,2015,CASUALTY,Yes,SATURDAY,UNDETERMINED,Yes,NOVEMBER,No,NANAIMO,No,No,VANCOUVER ISLAND,7TH ST,09:00-11:59,SATURDAY,OLD VICTORIA RD,N,N,NANAIMO,NANAIMO,OLD VICTORIA RD & SEVENTH ST & SOUTH ST & VICTORIA RD,7TH ST,1,49.147489,-123.937336,1
LOWER MAINLAND,2018,CASUALTY,Yes,THURSDAY,UNDETERMINED,Yes,DECEMBER,No,RICHMOND,No,No,LOWER MAINLAND,FRANCIS RD,18:00-20:59,THURSDAY,GARDEN CITY RD,N,N,RICHMOND,RICHMOND,FRANCIS RD & GARDEN CITY RD,FRANCIS RD,1,49.148201,-123.125163,1
LOWER MAINLAND,2015,CASUALTY,Yes,THURSDAY,UNDETERMINED,No,MAY,No,RICHMOND,No,No,LOWER MAINLAND,FRANCIS RD,06:00-08:59,THURSDAY,NA,N,Y,RICHMOND,RICHMOND,FRANCIS RD,FRANCIS RD,1,49.14839,-123.170416,1
LOWER MAINLAND,2018,CASUALTY,Yes,MONDAY,UNDETERMINED,Yes,DECEMBER,No,RICHMOND,No,No,LOWER MAINLAND,PRINCETON AVE,18:00-20:59,MONDAY,RAILWAY AVE,N,N,RICHMOND,RICHMOND,PRINCETON AVE & RAILWAY AVE,PRINCETON AVE,1,49.145848,-123.169815,1
LOWER MAINLAND,2015,CASUALTY,Yes,WEDNESDAY,SINGLE VEHICLE,Yes,APRIL,No,RICHMOND,No,No,LOWER MAINLAND,MCNEELY DR,15:00-17:59,WEDNESDAY,NO 5 RD,N,N,RICHMOND,RICHMOND,MCNEELY DR & NO 5 RD,MCNEELY DR,1,49.179648,-123.091614,1
LOWER MAINLAND,2016,CASUALTY,Yes,THURSDAY,SIDE IMPACT,Yes,SEPTEMBER,No,SURREY,No,No,LOWER MAINLAND,FRASER HWY,06:00-08:59,THURSDAY,KING GEORGE BLVD,N,N,SURREY,SURREY,98 AVE & FRASER HWY & KING GEORGE BLVD & TURNING LANE,FRASER HWY,1,49.180535,-122.845559,1
LOWER MAINLAND,2015,PROPERTY DAMAGE ONLY,Yes,MONDAY,SINGLE VEHICLE,Yes,APRIL,No,SURREY,Yes,No,LOWER MAINLAND,128 ST,15:00-17:59,MONDAY,98 AVE,N,N,SURREY,SURREY,128 ST & 98 AVE,128 ST,1,49.180802,-122.867776,1
LOWER MAINLAND,2016,CASUALTY,Yes,TUESDAY,UNDETERMINED,Yes,JANUARY,No,CHILLIWACK,No,No,LOWER MAINLAND,GIBSON RD,15:00-17:59,TUESDAY,GILLANDERS RD,N,N,CHILLIWACK,CHILLIWACK,GIBSON RD & GILLANDERS RD & YALE RD,GIBSON RD,1,49.178335,-121.87104,1
LOWER MAINLAND,2015,CASUALTY,Yes,SATURDAY,SIDE IMPACT,No,APRIL,No,RICHMOND,No,No,LOWER MAINLAND,RIVER RD,15:00-17:59,SATURDAY,NA,N,N,RICHMOND,RICHMOND,RIVER RD,RIVER RD,1,49.179013,-122.977664,1
LOWER MAINLAND,2016,CASUALTY,Yes,WEDNESDAY,SINGLE VEHICLE,No,AUGUST,No,CHILLIWACK,No,No,LOWER MAINLAND,MCNAUGHT RD,09:00-11:59,WEDNESDAY,NA,N,N,CHILLIWACK,CHILLIWACK,MCNAUGHT RD,MCNAUGHT RD,1,49.179087,-121.926749,1
LOWER MAINLAND,2019,CASUALTY,Yes,WEDNESDAY,SINGLE VEHICLE,No,JANUARY,No,CHILLIWACK,No,No,LOWER MAINLAND,YALE RD,12:00-14:59,WEDNESDAY,NA,N,Y,CHILLIWACK,CHILLIWACK,YALE RD,YALE RD,1,49.180888,-121.914045,1
LOWER MAINLAND,2015,CASUALTY,Yes,THURSDAY,SIDE IMPACT,Yes,OCTOBER,No,LANGLEY,No,No,LOWER MAINLAND,208 ST,15:00-17:59,THURSDAY,97 AVE,N,N,LANGLEY,LANGLEY,208 ST & 97 AVE,208 ST,1,49.178225,-122.646264,1
LOWER MAINLAND,2019,CASUALTY,Yes,SATURDAY,UNDETERMINED,No,JULY,No,SURREY,No,No,LOWER MAINLAND,98 AVE,12:00-14:59,SATURDAY,NA,N,Y,SURREY,SURREY,98 AVE,98 AVE,1,49.180859,-122.899265,1
LOWER MAINLAND,2019,CASUALTY,Yes,TUESDAY,SINGLE VEHICLE,Yes,APRIL,No,RICHMOND,No,No,LOWER MAINLAND,NO 4 RD,15:00-17:59,TUESDAY,ODLIN RD,N,N,RICHMOND,RICHMOND,NO 4 RD & ODLIN RD,NO 4 RD,1,49.18177,-123.113985,1
LOWER MAINLAND,2015,PROPERTY DAMAGE ONLY,Yes,MONDAY,SINGLE VEHICLE,Yes,APRIL,No,SURREY,No,No,LOWER MAINLAND,128 ST,15:00-17:59,MONDAY,98 AVE,N,N,SURREY,SURREY,128 ST & 98 AVE,128 ST,1,49.180802,-122.867776,1
SOUTHERN INTERIOR,2017,CASUALTY,Yes,SUNDAY,SINGLE VEHICLE,Yes,SEPTEMBER,No,OLIVER,No,No,SOUTHERN INTERIOR,CO-OP AVE,18:00-20:59,SUNDAY,MAIN ST,N,N,OLIVER,OLIVER,CO-OP AVE & MAIN ST,CO-OP AVE,1,49.179901,-119.551249,1
LOWER MAINLAND,2015,CASUALTY,Yes,SUNDAY,SINGLE VEHICLE,No,JUNE,No,CHILLIWACK,No,No,LOWER MAINLAND,QUARRY RD,09:00-11:59,SUNDAY,NA,N,Y,CHILLIWACK,CHILLIWACK,QUARRY RD,QUARRY RD,1,49.18099,-121.926271,1
LOWER MAINLAND,2018,CASUALTY,Yes,SATURDAY,SINGLE VEHICLE,Yes,MAY,No,VANCOUVER,No,No,LOWER MAINLAND,EXPO BLVD,18:00-20:59,SATURDAY,ABBOTT ST,N,N,VANCOUVER,VANCOUVER,ABBOTT ST & EXPO BLVD & PAT QUINN WAY,EXPO BLVD,1,49.278645,-123.107641,1
LOWER MAINLAND,2017,PROPERTY DAMAGE ONLY,Yes,THURSDAY,UNDETERMINED,Yes,MARCH,No,VANCOUVER,No,No,LOWER MAINLAND,EXPO BLVD,15:00-17:59,THURSDAY,CARRALL ST,N,N,VANCOUVER,VANCOUVER,CARRALL ST & EXPO BLVD,EXPO BLVD,1,49.278046,-123.106155,1
LOWER MAINLAND,2019,CASUALTY,Yes,TUESDAY,UNDETERMINED,Yes,FEBRUARY,No,PORT COQUITLAM,No,No,LOWER MAINLAND,COAST MERIDIAN RD,21:00-23:59,TUESDAY,LINCOLN AVE,N,N,PORT COQUITLAM,PORT COQUITLAM,COAST MERIDIAN RD & LINCOLN AVE & LINCOLN DR,COAST MERIDIAN RD,1,49.278459,-122.75613800000001,1
LOWER MAINLAND,2015,CASUALTY,Yes,FRIDAY,SINGLE VEHICLE,Yes,JUNE,No,VANCOUVER,No,No,LOWER MAINLAND,E GEORGIA ST,09:00-11:59,FRIDAY,GORE AVE,N,N,VANCOUVER,VANCOUVER,E GEORGIA ST & GORE AVE,E GEORGIA ST,1,49.278531,-123.097066,1
LOWER MAINLAND,2015,CASUALTY,Yes,WEDNESDAY,SINGLE VEHICLE,Yes,JUNE,No,VANCOUVER,No,No,LOWER MAINLAND,ADANAC ST,15:00-17:59,WEDNESDAY,COMMERCIAL DR,N,N,VANCOUVER,VANCOUVER,ADANAC ST & COMMERCIAL DR,ADANAC ST,1,49.27757,-123.070476,1
LOWER MAINLAND,2016,CASUALTY,Yes,THURSDAY,SINGLE VEHICLE,Yes,NOVEMBER,No,VANCOUVER,No,No,LOWER MAINLAND,ADANAC ST,09:00-11:59,THURSDAY,COMMERCIAL DR,N,N,VANCOUVER,VANCOUVER,ADANAC ST & COMMERCIAL DR,ADANAC ST,1,49.27757,-123.070476,1
