district,corona,district_name,id
Barisal,NA,Barishal,0
Bhola,NA,Bhola,1
Borgona,NA,Barguna,2
Jhalakati,NA,Jhalokati,3
Patuakhali,NA,Patuakhali,4
Pirojpur,NA,Pirojpur,5
Bandarbon,NA,Bandarban,6
Brahmanbaria,NA,Brahmanbaria,7
Chandpur,NA,Chandpur,8
Chittagong,3,Chattogram,9
Comilla,2,Cumilla,10
Cox's Bazar,1,Cox's Bazar,11
Feni,NA,Feni,12
Khagrachari,NA,Khagrachhari,13
Lakshmipur,NA,Lakshmipur,14
Noakhali,NA,Noakhali,15
Parbattya Chattagram,NA,Rangamati,16
Dhaka,123,Dhaka,17
Faridpur,NA,Faridpur,18
Gazipur,1,Gazipur,19
Gopalgonj,NA,Gopalganj,20
Jamalpur,2,Jamalpur,21
Kishoreganj,NA,Kishoreganj,22
Madaripur,11,Madaripur,23
Manikgonj,3,Manikgonj,24
Munshigonj,NA,Munshiganj,25
Naray Angonj,46,Narayanganj,26
Narshingdi,4,Narsingdi,27
Nasirabad,NA,Mymensingh,28
Netrakona,NA,Netrokona,29
Rajbari,1,Rajbari,30
Shariatpur,NA,Shariatpur,31
Sherpur,1,Sherpur,32
Tangail,2,Tangail,33
Bagerhat,NA,Bagerhat,34
Choua Danga,1,Chuadanga,35
Jessore,NA,Jashore,36
Jhenaidah,NA,Jhenaidah,37
Khulna,NA,Khulna,38
Kustia,NA,Kushtia,39
Magura,NA,Magura,40
Meherpur,NA,Meherpur,41
Narail,NA,Narail,42
Shatkhira,NA,Satkhira,43
Bogra,NA,Bogura,44
Jaipurhat,NA,Joypurhat,45
Naogaon,NA,Naogaon,46
Natore,NA,Natore,47
Nawabganj,NA,Chapainawabganj,48
Pabna,NA,Pabna,49
Rajshahi,NA,Rajshahi,50
Sirajgonj,NA,Sirajganj,51
Dinajpur,NA,Dinajpur,52
Gaibanda,5,Gaibandha,53
Kurigram,NA,Kurigram,54
Lalmonirhat,NA,Lalmonirhat,55
Nilphamari,1,Nilphamari,56
Panchagarh,NA,Panchagarh,57
Rongpur,1,Rangpur,58
Thakurgaon,NA,Thakurgaon,59
Hobiganj,NA,Habiganj,60
Moulvibazar,1,Moulvibazar,61
Sun Amgonj,NA,Sunamganj,62
Sylhet,1,Sylhet,63
