"","Start_Time","Start_Lat","Start_Lng","City","County","State","Weather_Timestamp","Temperature.F.","Humidity...","Weather_Condition","Time","... <- NULL"
"1","2016-02-08 05:46:00",39.865147,-84.058723,"Dayton","Montgomery","OH","2016-02-08 05:58:00",36.9,91,"Light Rain","05:46:00","05:58:00"
"2","2016-02-08 06:07:59",39.928059,-82.831184,"Reynoldsburg","Franklin","OH","2016-02-08 05:51:00",37.9,100,"Light Rain","06:07:59","05:51:00"
"3","2016-02-08 06:49:27",39.063148,-84.032608,"Williamsburg","Clermont","OH","2016-02-08 06:56:00",36,100,"Overcast","06:49:27","06:56:00"
"4","2016-02-08 07:23:34",39.747753,-84.205582,"Dayton","Montgomery","OH","2016-02-08 07:38:00",35.1,96,"Mostly Cloudy","07:23:34","07:38:00"
"5","2016-02-08 07:39:07",39.627781,-84.188354,"Dayton","Montgomery","OH","2016-02-08 07:53:00",36,89,"Mostly Cloudy","07:39:07","07:53:00"
"6","2016-02-08 07:44:26",40.10059,-82.925194,"Westerville","Franklin","OH","2016-02-08 07:51:00",37.9,97,"Light Rain","07:44:26","07:51:00"
"7","2016-02-08 07:59:35",39.758274,-84.230507,"Dayton","Montgomery","OH","2016-02-08 07:56:00",34,100,"Overcast","07:59:35","07:56:00"
"8","2016-02-08 07:59:58",39.770382,-84.194901,"Dayton","Montgomery","OH","2016-02-08 07:56:00",34,100,"Overcast","07:59:58","07:56:00"
"9","2016-02-08 08:00:40",39.778061,-84.172005,"Dayton","Montgomery","OH","2016-02-08 07:58:00",33.3,99,"Mostly Cloudy","08:00:40","07:58:00"
"10","2016-02-08 08:10:04",40.10059,-82.925194,"Westerville","Franklin","OH","2016-02-08 08:28:00",37.4,100,"Light Rain","08:10:04","08:28:00"
"11","2016-02-08 08:14:42",39.952812,-83.119293,"Columbus","Franklin","OH","2016-02-08 07:50:00",35.6,93,"Rain","08:14:42","07:50:00"
"12","2016-02-08 08:21:27",39.932709,-82.83091,"Reynoldsburg","Franklin","OH","2016-02-08 08:28:00",37.4,100,"Light Rain","08:21:27","08:28:00"
"13","2016-02-08 08:36:34",39.737633,-84.149933,"Dayton","Montgomery","OH","2016-02-08 08:28:00",33.8,100,"Overcast","08:36:34","08:28:00"
"14","2016-02-08 08:37:07",39.79076,-84.241547,"Dayton","Montgomery","OH","2016-02-08 08:56:00",36,89,"Mostly Cloudy","08:37:07","08:56:00"
"15","2016-02-08 08:39:43",39.972038,-82.913521,"Columbus","Franklin","OH","2016-02-08 08:28:00",37.4,100,"Light Rain","08:39:43","08:28:00"
"16","2016-02-08 08:43:20",39.745888,-84.17041,"Dayton","Montgomery","OH","2016-02-08 08:28:00",33.8,100,"Overcast","08:43:20","08:28:00"
"17","2016-02-08 08:53:17",39.748329,-84.224007,"Dayton","Montgomery","OH","2016-02-08 08:58:00",35.6,99,"Mostly Cloudy","08:53:17","08:58:00"
"18","2016-02-08 09:24:37",39.752174,-84.239952,"Dayton","Montgomery","OH","2016-02-08 08:56:00",36,89,"Mostly Cloudy","09:24:37","08:56:00"
"19","2016-02-08 09:25:17",39.740669,-84.184135,"Dayton","Montgomery","OH","2016-02-08 09:38:00",37.4,93,"Overcast","09:25:17","09:38:00"
"20","2016-02-08 09:35:35",39.790703,-84.244461,"Dayton","Montgomery","OH","2016-02-08 09:56:00",36,89,"Mostly Cloudy","09:35:35","09:56:00"
