Bat1,Wkts,Conc,Ct,St,,Opposition,Ground,Start DateAscending,
0*,5,50,0,0,,v India,Mirpur,18 Jun 2015,ODI # 3658
DNB,6,43,0,0,,v India,Mirpur,21 Jun 2015,ODI # 3660
9,2,57,1,0,,v India,Mirpur,24 Jun 2015,ODI # 3661
0*,0,15,0,0,,v South Africa,Mirpur,10 Jul 2015,ODI # 3663
DNB,3,38,0,0,,v South Africa,Mirpur,12 Jul 2015,ODI # 3666
DNB,2,24,0,0,,v South Africa,Chattogram,15 Jul 2015,ODI # 3668
DNB,0,27,0,0,,v Zimbabwe,Mirpur,7 Nov 2015,ODI # 3703
5*,3,33,0,0,,v Zimbabwe,Mirpur,9 Nov 2015,ODI # 3705
1,5,34,1,0,,v Zimbabwe,Mirpur,11 Nov 2015,ODI # 3706
0,2,62,0,0,,v New Zealand,Christchurch,26 Dec 2016,ODI # 3814
0*,2,32,0,0,,v New Zealand,Nelson,31 Dec 2016,ODI # 3816
DNB,3,56,0,0,,v Sri Lanka,Dambulla,25 Mar 2017,ODI # 3855
TDNB,1,60,1,0,,v Sri Lanka,Dambulla,28 Mar 2017,ODI # 3856
1*,2,55,0,0,,v Sri Lanka,Colombo (SSC),1 Apr 2017,ODI # 3858
DNB,-,-,-,-,,v Ireland,Dublin (Malahide),12 May 2017,ODI # 3866
0*,2,33,0,0,,v New Zealand,Dublin,17 May 2017,ODI # 3868
DNB,4,23,0,0,,v Ireland,Dublin (Malahide),19 May 2017,ODI # 3869
DNB,1,46,0,0,,v New Zealand,Dublin,24 May 2017,ODI # 3871
DNB,0,51,1,0,,v England,The Oval,1 Jun 2017,ODI # 3875
1*,0,27,0,0,,v Australia,The Oval,5 Jun 2017,ODI # 3879
DNB,1,52,2,0,,v New Zealand,Cardiff,9 Jun 2017,ODI # 3883
DNB,0,53,0,0,,v India,Birmingham,15 Jun 2017,ODI # 3891
DNB,2,29,0,0,,v Zimbabwe,Mirpur,15 Jan 2018,ODI # 3952
DNB,1,20,0,0,,v Sri Lanka,Mirpur,19 Jan 2018,ODI # 3959
18*,2,16,0,0,,v Zimbabwe,Mirpur,23 Jan 2018,ODI # 3964
1*,0,14,0,0,,v Sri Lanka,Mirpur,25 Jan 2018,ODI # 3965
