Player,Span,Mat,Inns,Balls,Overs,Mdns,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4,5
M Muralidaran (Asia/ICC/SL),1993-2011,350,341,18811,3135.1,198,12326,534,7/30,7/30,23.08,3.93,35.22,15,10
Wasim Akram (PAK),1984-2003,356,351,18186,3031.0,237,11812,502,5/15,5/15,23.52,3.89,36.22,17,6
Waqar Younis (PAK),1989-2003,262,258,12698,2116.2,143,9919,416,7/36,7/36,23.84,4.68,30.52,14,13
WPUJC Vaas (Asia/SL),1994-2008,322,320,15775,2629.1,279,11014,400,8/19,8/19,27.53,4.18,39.43,9,4
Shahid Afridi (Asia/ICC/PAK),1996-2015,398,372,17670,2945.0,76,13632,395,7/12,7/12,34.51,4.62,44.73,4,9
SM Pollock (Afr/ICC/SA),1996-2008,303,297,15712,2618.4,313,9631,393,6/35,6/35,24.50,3.67,39.97,12,5
GD McGrath (AUS/ICC),1993-2007,250,248,12970,2161.4,279,8391,381,7/15,7/15,22.02,3.88,34.04,9,7
B Lee (AUS),2000-2012,221,217,11185,1864.1,141,8877,380,5/22,5/22,23.36,4.76,29.43,14,9
SL Malinga (SL),2004-2019,226,220,10936,1822.4,103,9760,338,6/38,6/38,28.87,5.35,32.35,11,8
A Kumble (Asia/IND),1990-2007,271,265,14496,2416.0,109,10412,337,6/12,6/12,30.89,4.30,43.01,8,2
ST Jayasuriya (Asia/SL),1989-2011,445,368,14874,2479.0,45,11871,323,6/29,6/29,36.75,4.78,46.04,8,4
J Srinath (IND),1991-2003,229,227,11935,1989.1,137,8847,315,5/23,5/23,28.08,4.44,37.88,7,3
Shakib Al Hasan (BAN),2006-2023,240,234,12200,2033.2,100,9031,308,5/29,5/29,29.32,4.44,39.61,10,4
DL Vettori (ICC/NZ),1997-2015,295,277,14060,2343.2,99,9674,305,5/7,5/7,31.71,4.12,46.09,8,2
SK Warne (AUS/ICC),1993-2005,194,191,10642,1773.4,110,7541,293,5/33,5/33,25.73,4.25,36.32,12,1
Saqlain Mushtaq (PAK),1995-2003,169,165,8770,1461.4,66,6275,288,5/20,5/20,21.78,4.29,30.45,11,6
AB Agarkar (IND),1998-2007,191,188,9484,1580.4,100,8021,288,6/42,6/42,27.85,5.07,32.93,10,2
Z Khan (Asia/IND),2000-2012,200,197,10097,1682.5,117,8301,282,5/42,5/42,29.43,4.93,35.80,7,1
JH Kallis (Afr/ICC/SA),1996-2014,328,283,10750,1791.4,79,8680,273,5/30,5/30,31.79,4.84,39.37,2,2
AA Donald (SA),1991-2003,164,162,8561,1426.5,101,5926,272,6/23,6/23,21.78,4.15,31.47,11,2
Mashrafe Mortaza (Asia/BAN),2001-2020,220,220,10922,1820.2,123,8893,270,6/26,6/26,32.93,4.88,40.45,7,1
JM Anderson (ENG),2002-2015,194,191,9584,1597.2,125,7861,269,5/23,5/23,29.22,4.92,35.62,11,2
Abdul Razzaq (Asia/PAK),1996-2011,265,254,10941,1823.3,107,8564,269,6/35,6/35,31.83,4.69,40.67,8,3
Harbhajan Singh (Asia/IND),1998-2015,236,227,12479,2079.5,83,8973,269,5/31,5/31,33.35,4.31,46.39,2,3
M Ntini (ICC/SA),1998-2009,173,171,8687,1447.5,123,6559,266,6/22,6/22,24.65,4.53,32.65,8,4
N Kapil Dev (IND),1978-1994,225,221,11202,1867.0,235,6945,253,5/43,5/43,27.45,3.71,44.27,3,1
