college,lat,lon,formatted,name,housenumber,street,district,postcode,city,county,state,country,confidence_city_level,country_code,confidence,attribution,attribution_license,attribution_url
"Faujdarhat Cadet College,Faujdarhat,Bangladesh",22.400108,91.764177,"Faujdarhat Cadet College, 5404 Sitakunda, Chittagong - 5404, Bangladesh",Faujdarhat Cadet College,5404,Sitakunda,,5404,Chittagong,Chittagong,Chittagong,Bangladesh,,bd,0.8,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Jhenidah Cadet College,Jhenidah,Bangladesh",23.567576,89.17708,"Jhenaidah Cadet College, 2 km north of Jhenaidah town along the Jhenaidah-Kushtia highway Jhenaidah, - 7301, Bangladesh",Jhenaidah Cadet College,,2 km north of Jhenaidah town along the Jhenaidah-Kushtia highway Jhenaidah,,7301,,Jhenaidah,Khulna,Bangladesh,,bd,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Mirzapur Cadet College,Mirzapur,Bangladesh",24.08249995,90.16896285679272,"Mirzapur Cadet College Playground, MCC road, - 1942, Bangladesh",Mirzapur Cadet College Playground,,MCC road,,1942,,Mirzapur Upazila,Dhaka Division,Bangladesh,0.9,bd,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Mymensingh Girls' Cadet College,Mymensingh,Bangladesh",24.74611,90.40391029265447,"Mymensingh Girls' Cadet College, Primary School Lane, Mymensingh - 2200, Bangladesh",Mymensingh Girls' Cadet College,,Primary School Lane,,2200,Mymensingh,Mymensingh Sadar Upazila,Mymensingh Division,Bangladesh,1,bd,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Rajshahi Cadet College,Rajshahi,Bangladesh",24.312871450000003,88.71899976950382,"Rajshahi Cadet College, Rajshahi, Charghat Upazila, Bangladesh",Rajshahi Cadet College,,,,,Rajshahi,Charghat Upazila,Rajshahi Division,Bangladesh,1,bd,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Rangpur Cadet College,Rangpur,Bangladesh",25.713112549999998,89.25861990525577,"RANGPUR CADET COLLEGE, N517, Rangpur - 5402, Bangladesh",RANGPUR CADET COLLEGE,,N517,,5402,Rangpur,Rangpur Sadar Upazila,Rangpur Division,Bangladesh,1,bd,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Sylhet Cadet College,Sylhet,Bangladesh",24.945821,91.871308,"Sylhet Cadet College, Airport Rd, Sylhet - 3101, Bangladesh",Sylhet Cadet College,,Airport Rd,,3101,Sylhet,Sylhet,Sylhet,Bangladesh,1,bd,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Barisal Cadet College,Barisal,Bangladesh",22.77913745,90.30752627357043,"Barisal Cadet College Medical Center, Dhaka-Barishal Highway, Babuganj Subdistrict, Barisal District - 8213, Bangladesh",Barisal Cadet College Medical Center,,Dhaka-Barishal Highway,Babuganj Subdistrict,8213,Barisal District,,Barishal Division,Bangladesh,0.9,bd,0.7290000000000001,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Comilla Cadet College,Comilla,Bangladesh",23.42871555,91.1333799804398,"Comilla Cadet College, Comilla-Kotbari Road, Cumilla - 3502, Bangladesh",Comilla Cadet College,,Comilla-Kotbari Road,,3502,Cumilla,Cumilla Adarsha Sadar Upazila,Chattogram Division,Bangladesh,0.7714285714285714,bd,0.7714285714285714,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Pabna Cadet College,Pabna,Bangladesh",24.022509,89.292281,"Pabna Cadet College, Jalalpur, Pabna Sadar, Pabna - 6600, Bangladesh",Pabna Cadet College,,"Jalalpur, Pabna Sadar",,6600,Pabna,Pabna,Rajshahi,Bangladesh,1,bd,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Joypurhat Girls' Cadet College,Joypurhat,Bangladesh",25.0984426,89.00650012929923,"Joypurhat Girls Cadet College, Gariakanto Rd, Joypurhat, Joypurhat - 5900, Bangladesh",Joypurhat Girls Cadet College,,"Gariakanto Rd, Joypurhat",,5900,Joypurhat,Joypurhat Sadar Upazila,Rajshahi Division,Bangladesh,1,bd,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Feni Girls' Cadet College,Joypurhat,Bangladesh",25.1037974,89.0229113,"Joypurhat - 5900, Bangladesh",Joypurhat,,,,5900,Joypurhat,Joypurhat Sadar Upazila,Rajshahi Division,Bangladesh,1,bd,0.25,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
