District, count	
Barguna, 0
Barishal, 0
Bhola, 0
Jhalokathi, 0
Patuakhali, 0
Pirojpur, 0
Bandarban, 0
Brahmanbaria, 0
Chandpur, 0
Chittagong, 1
Comilla, 1
Cox's Bazar, 0
Feni, 0
Khagrachhari, 0
Lakshmipur, 0
Noakhali, 0
Rangamati, 0
Dhaka, 0
Faridpur, 0
Gazipur, 0
Gopalganj, 0
Jamalpur, 2
Kishoreganj, 0
Madaripur, 0
Manikganj, 0
Munshiganj, 0
Mymensingh, 5
Narayanganj, 0
Narsingdi, 0
Netrokona, 2
Rajbari, 0
Shariatpur, 0
Sherpur, 2
Tangail, 1
Bagerhat, 0
Chuadanga, 0
Jessore, 0
Jhenaidah, 0
Khulna, 0
Kushtia, 0
Magura, 0
Meherpur, 0
Narail, 0
Satkhira, 0
Bogura, 0
Joypurhat, 0
Naogaon, 0
Natore, 0
Nawabganj, 0
Pabna, 0
Rajshahi, 0
Sirajganj, 0
Dinajpur, 1
Gaibandha, 0
Kurigram, 5
Lalmonirhat, 0
Nilphamari, 0
Panchagarh, 0
Rangpur, 0
Thakurgaon, 0
Habiganj, 1
MoulviBazar, 0
Sunamganj, 2
Sylhet, 3
